dim_browser,dim_deviceCategory,dim_date,sessions,transactions,QTY
Safari (in-app),mobile,10/21/12,2121,3,3
Chrome,mobile,10/21/12,1875,18,38
Safari (in-app),tablet,10/21/12,96,0,0
Internet Explorer,tablet,10/21/12,70,2,0
Samsung Internet,tablet,10/21/12,48,0,0
BlackBerry,mobile,10/21/12,26,0,0
Opera,desktop,10/21/12,20,0,0
Amazon Silk,mobile,10/21/12,10,0,0
Android Webview,tablet,10/21/12,8,0,0
error,desktop,10/21/12,5,0,0
osee2unifiedRelease,mobile,10/21/12,3,0,0
(not set),tablet,10/21/12,2,0,0
Chrome,desktop,10/22/12,12185,319,618
Safari,tablet,10/22/12,3427,120,238
Safari (in-app),tablet,10/22/12,1281,17,27
Internet Explorer,desktop,10/22/12,1205,17,5
Firefox,desktop,10/22/12,789,16,23
Edge,desktop,10/22/12,569,17,35
Chrome,tablet,10/22/12,313,8,18
Internet Explorer,mobile,10/22/12,162,14,35
Internet Explorer,tablet,10/22/12,128,4,0
Amazon Silk,tablet,10/22/12,99,4,6
Android Browser,mobile,10/22/12,33,0,0
Edge,mobile,10/22/12,16,0,0
BlackBerry,mobile,10/22/12,10,0,0
error,desktop,10/22/12,7,0,0
Coc Coc,desktop,10/22/12,4,0,0
Opera,desktop,10/22/12,4,0,0
UC Browser,mobile,10/22/12,4,0,0
DDG-Android-3.1.1,desktop,10/22/12,0,0,0
YaBrowser,desktop,10/22/12,0,0,0
Chrome,desktop,10/23/12,11171,303,671
Safari,mobile,10/23/12,8886,108,127
Internet Explorer,desktop,10/23/12,2656,70,120
Firefox,desktop,10/23/12,1596,55,90
Chrome,mobile,10/23/12,877,7,15
Chrome,tablet,10/23/12,426,22,16
Internet Explorer,tablet,10/23/12,143,4,0
YaBrowser,desktop,10/23/12,6,0,0
error,desktop,10/23/12,5,0,0
Internet Explorer,mobile,10/23/12,3,0,0
Edge,mobile,10/23/12,2,0,0
Firefox,tablet,10/23/12,1,0,0
Opera,tablet,10/23/12,1,0,0
YaBrowser,tablet,10/23/12,1,0,0
BlackBerry,mobile,10/23/12,0,0,0
Edge,tablet,10/23/12,0,0,0
Opera Mini,mobile,10/23/12,0,0,0
Puffin,desktop,10/23/12,0,0,0
Chrome,desktop,10/24/12,6463,146,225
Safari,desktop,10/24/12,4736,295,601
Safari,tablet,10/24/12,3724,66,166
Firefox,desktop,10/24/12,1641,31,33
Safari (in-app),mobile,10/24/12,478,0,0
Android Webview,mobile,10/24/12,401,0,0
Edge,desktop,10/24/12,320,3,14
Samsung Internet,mobile,10/24/12,161,4,1
Amazon Silk,tablet,10/24/12,112,3,5
Internet Explorer,tablet,10/24/12,69,1,1
Android Webview,tablet,10/24/12,18,2,1
Samsung Internet,tablet,10/24/12,17,0,0
Firefox,mobile,10/24/12,7,0,0
Edge,tablet,10/24/12,4,0,0
error,desktop,10/24/12,3,0,0
Maxthon,desktop,10/24/12,2,0,0
Firefox,tablet,10/24/12,1,0,0
Amazon Silk,mobile,10/24/12,0,0,0
Opera Mini,mobile,10/24/12,0,0,0
UC Browser,mobile,10/24/12,0,0,0
Safari,mobile,10/25/12,6146,60,119
Firefox,desktop,10/25/12,1619,80,265
Edge,desktop,10/25/12,1418,40,57
Internet Explorer,desktop,10/25/12,931,22,35
Safari (in-app),tablet,10/25/12,333,0,0
Amazon Silk,tablet,10/25/12,316,3,5
Internet Explorer,tablet,10/25/12,164,12,0
error,desktop,10/25/12,7,0,0
YaBrowser,desktop,10/25/12,4,0,0
Firefox,tablet,10/25/12,3,0,0
SeaMonkey,desktop,10/25/12,3,0,0
UC Browser,mobile,10/25/12,3,0,0
Opera,mobile,10/25/12,1,0,0
Opera Mini,tablet,10/25/12,1,0,0
Mozilla,desktop,10/25/12,0,0,0
Safari,mobile,10/26/12,30315,159,319
Chrome,desktop,10/26/12,10946,662,1543
Safari,tablet,10/26/12,6229,67,136
Firefox,desktop,10/26/12,2381,82,131
Safari (in-app),mobile,10/26/12,1603,7,11
Internet Explorer,desktop,10/26/12,1574,41,61
Chrome,mobile,10/26/12,1316,15,44
Chrome,tablet,10/26/12,683,18,25
Safari (in-app),tablet,10/26/12,371,1,2
Amazon Silk,tablet,10/26/12,41,0,0
Firefox,mobile,10/26/12,22,0,0
error,desktop,10/26/12,10,0,0
Android Browser,mobile,10/26/12,5,0,0
BlackBerry,mobile,10/26/12,5,0,0
osee2unifiedRelease,mobile,10/26/12,2,0,0
Puffin,desktop,10/26/12,2,0,0
SeaMonkey,desktop,10/26/12,2,0,4
Opera,tablet,10/26/12,1,0,0
TimesTablet,tablet,10/26/12,1,0,0
Safari,mobile,10/27/12,20686,206,387
Chrome,desktop,10/27/12,6104,178,302
Chrome,mobile,10/27/12,2205,13,35
Firefox,desktop,10/27/12,1742,71,126
Safari (in-app),tablet,10/27/12,1106,5,1
Edge,desktop,10/27/12,319,11,8
Internet Explorer,mobile,10/27/12,158,0,8
Android Webview,tablet,10/27/12,149,0,2
Amazon Silk,tablet,10/27/12,89,0,4
BlackBerry,mobile,10/27/12,19,0,0
Android Browser,tablet,10/27/12,10,0,0
Mozilla,desktop,10/27/12,9,0,0
Edge,mobile,10/27/12,5,0,0
Opera Mini,mobile,10/27/12,4,0,0
SeaMonkey,desktop,10/27/12,4,0,2
error,desktop,10/27/12,3,0,0
Opera,tablet,10/27/12,2,0,0
Safari,tablet,10/28/12,8266,145,350
Firefox,desktop,10/28/12,6864,89,152
Safari,mobile,10/28/12,5039,81,157
Safari (in-app),mobile,10/28/12,2608,1,5
Internet Explorer,desktop,10/28/12,1132,23,1
Safari (in-app),tablet,10/28/12,378,0,3
Amazon Silk,tablet,10/28/12,210,6,5
Android Webview,mobile,10/28/12,107,0,0
Samsung Internet,tablet,10/28/12,28,0,0
Firefox,mobile,10/28/12,13,0,0
Android Browser,mobile,10/28/12,3,0,0
Internet Explorer,mobile,10/28/12,3,0,0
Mozilla,desktop,10/28/12,3,0,0
error,desktop,10/28/12,2,0,0
Internet Explorer,tablet,10/28/12,2,0,0
Android Browser,tablet,10/28/12,1,0,0
Opera Mini,mobile,10/28/12,1,0,0
Firefox,tablet,10/28/12,0,0,0
YaBrowser,mobile,10/28/12,0,0,0
Safari,tablet,10/29/12,6047,112,186
Chrome,desktop,10/29/12,5605,132,271
Firefox,desktop,10/29/12,2940,126,181
Chrome,mobile,10/29/12,1400,14,17
Edge,desktop,10/29/12,1397,60,82
Internet Explorer,desktop,10/29/12,1200,18,31
Chrome,tablet,10/29/12,315,3,22
Android Webview,mobile,10/29/12,206,0,0
Samsung Internet,mobile,10/29/12,182,6,2
Amazon Silk,tablet,10/29/12,85,0,0
Internet Explorer,tablet,10/29/12,71,3,0
Firefox,mobile,10/29/12,30,0,0
Samsung Internet,tablet,10/29/12,19,0,0
Edge,mobile,10/29/12,10,0,0
error,desktop,10/29/12,6,0,0
Puffin,desktop,10/29/12,2,0,0
Android Browser,mobile,10/29/12,1,0,0
UC Browser,mobile,10/29/12,1,0,0
Safari,mobile,10/30/12,12755,189,301
Chrome,desktop,10/30/12,7054,206,454
Safari,desktop,10/30/12,4573,207,629
Internet Explorer,desktop,10/30/12,1787,102,0
Firefox,desktop,10/30/12,1243,55,92
Edge,desktop,10/30/12,1005,11,8
Safari (in-app),mobile,10/30/12,507,2,0
Chrome,tablet,10/30/12,487,3,2
Internet Explorer,tablet,10/30/12,159,6,6
Amazon Silk,tablet,10/30/12,74,0,0
Samsung Internet,tablet,10/30/12,52,0,0
Firefox,mobile,10/30/12,45,0,0
Android Webview,tablet,10/30/12,33,0,0
Opera,desktop,10/30/12,12,0,0
error,desktop,10/30/12,6,0,0
BlackBerry,mobile,10/30/12,5,0,0
Edge,mobile,10/30/12,4,0,0
Internet Explorer,mobile,10/30/12,4,0,0
Opera,tablet,10/30/12,2,0,0
Mozilla,desktop,10/30/12,1,0,0
osee2unifiedRelease,mobile,10/30/12,1,0,0
Android Browser,mobile,10/30/12,0,0,0
YaBrowser,desktop,10/30/12,0,0,0
Chrome,desktop,10/31/12,5263,110,217
Internet Explorer,desktop,10/31/12,3415,115,73
Edge,desktop,10/31/12,1248,32,59
Safari (in-app),tablet,10/31/12,464,0,0
Firefox,mobile,10/31/12,31,0,0
Samsung Internet,tablet,10/31/12,19,0,0
Amazon Silk,mobile,10/31/12,15,0,0
Android Webview,tablet,10/31/12,8,0,0
error,desktop,10/31/12,8,0,0
Internet Explorer,mobile,10/31/12,8,0,0
Edge,mobile,10/31/12,4,0,0
Mozilla Compatible Agent,desktop,10/31/12,3,0,0
Android Browser,mobile,10/31/12,2,0,0
Opera,desktop,10/31/12,2,0,0
SeaMonkey,desktop,10/31/12,1,0,0
Mozilla,desktop,10/31/12,0,0,0
Opera,mobile,10/31/12,0,0,0
Safari (in-app),desktop,10/31/12,0,0,0
UC Browser,mobile,10/31/12,0,0,0
Safari,desktop,11/1/12,5478,129,208
Internet Explorer,desktop,11/1/12,661,22,0
Safari (in-app),mobile,11/1/12,510,0,0
Chrome,tablet,11/1/12,223,4,10
Amazon Silk,tablet,11/1/12,142,0,2
Samsung Internet,mobile,11/1/12,127,2,3
Firefox,mobile,11/1/12,52,0,0
Android Webview,tablet,11/1/12,19,0,0
BlackBerry,mobile,11/1/12,9,0,0
Android Browser,tablet,11/1/12,6,0,0
error,desktop,11/1/12,4,0,0
Mozilla Compatible Agent,desktop,11/1/12,4,0,0
Opera Mini,mobile,11/1/12,1,0,0
Puffin,mobile,11/1/12,1,0,0
Amazon Silk,mobile,11/1/12,0,0,0
Edge,mobile,11/1/12,0,0,0
Iron,mobile,11/1/12,0,0,0
Safari,mobile,11/2/12,16637,281,525
Chrome,desktop,11/2/12,11539,250,493
Safari,desktop,11/2/12,8157,374,782
Safari,tablet,11/2/12,5301,109,168
Safari (in-app),mobile,11/2/12,1918,5,23
Edge,desktop,11/2/12,1372,38,59
Internet Explorer,desktop,11/2/12,1302,37,98
Chrome,tablet,11/2/12,627,8,30
Samsung Internet,mobile,11/2/12,377,9,9
Android Webview,mobile,11/2/12,267,2,2
Amazon Silk,tablet,11/2/12,107,0,0
Samsung Internet,tablet,11/2/12,12,0,0
Opera,desktop,11/2/12,10,0,0
Internet Explorer,tablet,11/2/12,8,0,0
UC Browser,tablet,11/2/12,5,0,0
BlackBerry,mobile,11/2/12,3,0,0
error,desktop,11/2/12,2,0,0
SeaMonkey,desktop,11/2/12,2,0,0
Edge,mobile,11/2/12,1,0,0
Mozilla,desktop,11/2/12,1,0,0
Safari,tablet,11/3/12,9233,202,391
Chrome,desktop,11/3/12,8768,197,408
Chrome,mobile,11/3/12,2866,23,35
Internet Explorer,desktop,11/3/12,2832,112,170
Safari,desktop,11/3/12,2421,100,160
Edge,desktop,11/3/12,753,4,7
Firefox,desktop,11/3/12,737,24,36
Samsung Internet,mobile,11/3/12,532,1,4
Safari (in-app),mobile,11/3/12,224,3,6
Internet Explorer,mobile,11/3/12,142,4,16
Opera,desktop,11/3/12,34,3,0
Samsung Internet,tablet,11/3/12,23,0,0
Android Browser,mobile,11/3/12,9,0,0
Firefox,tablet,11/3/12,6,0,0
Opera,mobile,11/3/12,2,0,0
Amazon Silk,desktop,11/3/12,1,0,0
Amazon Silk,mobile,11/3/12,1,0,0
Edge,mobile,11/3/12,1,0,0
error,desktop,11/3/12,1,0,0
Opera,tablet,11/3/12,0,0,0
YaBrowser,desktop,11/3/12,0,0,0
Safari,tablet,11/4/12,17248,372,622
Chrome,desktop,11/4/12,13598,522,1042
Internet Explorer,desktop,11/4/12,2977,81,2
Safari (in-app),tablet,11/4/12,1655,19,27
Firefox,desktop,11/4/12,1142,31,42
Edge,desktop,11/4/12,758,6,6
Chrome,mobile,11/4/12,540,1,6
Chrome,tablet,11/4/12,264,17,26
Internet Explorer,mobile,11/4/12,154,7,33
Opera,desktop,11/4/12,19,0,1
Samsung Internet,tablet,11/4/12,16,0,0
Firefox,mobile,11/4/12,14,0,0
SeaMonkey,desktop,11/4/12,9,0,0
Android Webview,tablet,11/4/12,7,0,0
BlackBerry,mobile,11/4/12,6,0,0
error,desktop,11/4/12,4,0,0
Android Browser,mobile,11/4/12,0,0,0
Maxthon,desktop,11/4/12,0,0,0
UC Browser,mobile,11/4/12,0,0,0
Chrome,desktop,11/5/12,3727,70,105
Safari,desktop,11/5/12,2384,154,243
Safari (in-app),mobile,11/5/12,1593,18,26
Edge,desktop,11/5/12,1295,18,34
Mozilla Compatible Agent,desktop,11/5/12,146,0,0
Android Webview,mobile,11/5/12,122,0,0
Internet Explorer,tablet,11/5/12,86,0,0
BlackBerry,mobile,11/5/12,25,1,3
Firefox,mobile,11/5/12,20,0,0
Amazon Silk,mobile,11/5/12,13,0,0
error,desktop,11/5/12,9,0,0
Opera,desktop,11/5/12,9,0,0
Android Browser,tablet,11/5/12,6,0,0
Internet Explorer,mobile,11/5/12,6,0,0
Maxthon,desktop,11/5/12,3,0,0
Mozilla,desktop,11/5/12,3,0,0
Edge,mobile,11/5/12,1,0,0
Puffin,desktop,11/5/12,1,0,0
Opera Mini,mobile,11/5/12,0,0,0
UC Browser,mobile,11/5/12,0,0,0
YaBrowser,tablet,11/5/12,0,0,0
Chrome,desktop,11/6/12,7873,147,216
Safari,desktop,11/6/12,4909,237,434
Chrome,mobile,11/6/12,3050,18,23
Safari,tablet,11/6/12,2478,68,138
Safari (in-app),tablet,11/6/12,1087,8,22
Firefox,desktop,11/6/12,892,23,32
Edge,desktop,11/6/12,513,35,36
Chrome,tablet,11/6/12,398,0,8
Android Webview,tablet,11/6/12,15,0,0
Opera,desktop,11/6/12,13,0,0
Android Browser,tablet,11/6/12,5,0,0
error,desktop,11/6/12,5,0,0
Internet Explorer,mobile,11/6/12,3,0,0
Android Browser,mobile,11/6/12,2,0,0
NokiaE52-1,mobile,11/6/12,2,0,0
Maxthon,desktop,11/6/12,1,0,0
Opera,mobile,11/6/12,1,0,0
Opera Mini,mobile,11/6/12,1,0,0
Puffin,mobile,11/6/12,0,0,0
Safari,desktop,11/7/12,2963,189,333
Internet Explorer,desktop,11/7/12,1438,17,0
Edge,desktop,11/7/12,496,6,24
Chrome,tablet,11/7/12,285,2,2
Safari (in-app),tablet,11/7/12,135,0,0
Internet Explorer,tablet,11/7/12,87,0,0
Samsung Internet,tablet,11/7/12,40,0,0
Edge,mobile,11/7/12,21,0,0
Android Webview,tablet,11/7/12,19,0,0
Opera,desktop,11/7/12,17,4,2
error,desktop,11/7/12,7,0,0
Firefox,mobile,11/7/12,7,0,0
(not set),mobile,11/7/12,4,0,0
Amazon Silk,mobile,11/7/12,2,0,0
Android Browser,mobile,11/7/12,1,0,0
Firefox,tablet,11/7/12,1,0,0
Mozilla,desktop,11/7/12,1,0,0
Opera Mini,mobile,11/7/12,1,0,0
Puffin,desktop,11/7/12,1,0,0
Maxthon,desktop,11/7/12,0,0,0
Internet Explorer,desktop,11/8/12,7014,39,81
Safari,tablet,11/8/12,6810,212,432
Safari,mobile,11/8/12,5732,132,251
Safari,desktop,11/8/12,4372,165,331
Chrome,mobile,11/8/12,1071,9,5
Android Webview,mobile,11/8/12,919,2,12
Safari (in-app),tablet,11/8/12,858,5,11
Chrome,tablet,11/8/12,705,23,15
Safari (in-app),mobile,11/8/12,522,0,0
Internet Explorer,mobile,11/8/12,155,3,2
Amazon Silk,tablet,11/8/12,122,0,0
Opera,desktop,11/8/12,47,2,2
Internet Explorer,tablet,11/8/12,45,0,0
Samsung Internet,tablet,11/8/12,37,1,4
Android Browser,tablet,11/8/12,12,0,0
error,desktop,11/8/12,8,0,0
Android Browser,mobile,11/8/12,2,0,0
Mozilla Compatible Agent,desktop,11/8/12,2,0,0
Opera,tablet,11/8/12,1,0,0
osee2unifiedRelease,mobile,11/8/12,1,0,0
Chrome,desktop,11/9/12,12279,399,727
Safari,mobile,11/9/12,8870,66,99
Safari,tablet,11/9/12,7167,177,366
Safari,desktop,11/9/12,2658,118,261
Safari (in-app),mobile,11/9/12,1912,15,41
Chrome,mobile,11/9/12,1417,3,15
Internet Explorer,desktop,11/9/12,764,27,57
Chrome,tablet,11/9/12,400,7,9
Amazon Silk,tablet,11/9/12,252,3,13
Safari (in-app),tablet,11/9/12,248,0,2
Android Webview,mobile,11/9/12,135,0,0
BlackBerry,mobile,11/9/12,41,1,1
Samsung Internet,tablet,11/9/12,36,0,0
Firefox,mobile,11/9/12,17,0,0
Opera,desktop,11/9/12,14,2,6
Edge,mobile,11/9/12,7,0,0
Android Browser,mobile,11/9/12,6,0,0
error,desktop,11/9/12,4,0,0
SeaMonkey,desktop,11/9/12,4,0,0
Coc Coc,desktop,11/9/12,1,0,0
Puffin,desktop,11/9/12,0,0,0
Chrome,desktop,11/10/12,12971,430,843
Safari,tablet,11/10/12,3741,80,177
Edge,desktop,11/10/12,1244,23,75
Firefox,desktop,11/10/12,1194,57,107
Chrome,mobile,11/10/12,867,14,10
Safari (in-app),tablet,11/10/12,718,2,5
Internet Explorer,mobile,11/10/12,322,6,10
Safari (in-app),mobile,11/10/12,273,0,0
Android Webview,mobile,11/10/12,165,1,0
Samsung Internet,tablet,11/10/12,9,0,0
Firefox,mobile,11/10/12,8,0,0
Edge,mobile,11/10/12,4,0,0
Opera,desktop,11/10/12,4,0,0
error,desktop,11/10/12,2,0,0
Opera,mobile,11/10/12,1,0,0
Opera Mini,mobile,11/10/12,1,0,0
Android Webview,tablet,11/10/12,0,0,0
BrowserNG,mobile,11/10/12,0,0,0
Firefox,tablet,11/10/12,0,0,0
Safari,tablet,11/11/12,9477,226,681
Safari (in-app),mobile,11/11/12,3019,19,36
Safari,desktop,11/11/12,1612,61,138
Firefox,desktop,11/11/12,940,49,79
Chrome,tablet,11/11/12,678,6,14
Edge,desktop,11/11/12,462,7,10
Android Webview,mobile,11/11/12,306,1,6
Amazon Silk,tablet,11/11/12,76,0,0
Internet Explorer,tablet,11/11/12,62,2,3
Opera,desktop,11/11/12,27,0,0
Samsung Internet,tablet,11/11/12,24,1,0
Android Webview,tablet,11/11/12,15,0,0
Amazon Silk,mobile,11/11/12,9,1,4
Opera,mobile,11/11/12,4,0,0
error,desktop,11/11/12,3,0,0
Iron,desktop,11/11/12,3,0,0
Puffin,desktop,11/11/12,2,0,2
SeaMonkey,desktop,11/11/12,2,0,0
Android Browser,mobile,11/11/12,1,0,0
Internet Explorer,mobile,11/11/12,1,0,0
Edge,tablet,11/11/12,0,0,0
Safari,mobile,11/12/12,14346,285,435
Chrome,desktop,11/12/12,11427,191,392
Safari,desktop,11/12/12,5309,248,421
Internet Explorer,desktop,11/12/12,3004,73,30
Safari,tablet,11/12/12,2765,47,99
Safari (in-app),mobile,11/12/12,2236,14,26
Firefox,desktop,11/12/12,1425,35,89
Samsung Internet,mobile,11/12/12,612,13,10
Android Webview,mobile,11/12/12,366,5,1
Chrome,tablet,11/12/12,183,2,2
Internet Explorer,tablet,11/12/12,96,3,0
Samsung Internet,tablet,11/12/12,23,0,0
Android Webview,tablet,11/12/12,8,0,0
Opera,desktop,11/12/12,8,0,0
error,desktop,11/12/12,6,0,0
Android Browser,mobile,11/12/12,4,0,0
Opera Mini,mobile,11/12/12,3,0,0
Iron,mobile,11/12/12,2,0,0
Coc Coc,desktop,11/12/12,1,0,0
Puffin,desktop,11/12/12,1,0,0
BlackBerry,mobile,11/12/12,0,0,0
Internet Explorer,desktop,11/13/12,3233,65,32
Edge,desktop,11/13/12,1283,34,74
Chrome,tablet,11/13/12,542,5,16
Android Webview,mobile,11/13/12,493,4,4
Safari (in-app),tablet,11/13/12,333,0,9
Android Browser,mobile,11/13/12,45,0,0
BlackBerry,mobile,11/13/12,21,0,0
SeaMonkey,desktop,11/13/12,18,0,0
Opera,desktop,11/13/12,14,0,0
error,desktop,11/13/12,10,0,0
Mozilla,desktop,11/13/12,7,0,0
Internet Explorer,mobile,11/13/12,6,0,0
Firefox,mobile,11/13/12,5,0,0
osee2unifiedRelease,mobile,11/13/12,4,0,0
Edge,mobile,11/13/12,2,0,0
osee2unifiedRelease,tablet,11/13/12,2,0,0
Opera,tablet,11/13/12,1,0,0
YaBrowser,desktop,11/13/12,0,0,0
Safari,desktop,11/14/12,5094,217,540
Chrome,mobile,11/14/12,4148,36,74
Chrome,desktop,11/14/12,3262,50,110
Safari (in-app),tablet,11/14/12,1837,6,7
Firefox,desktop,11/14/12,1425,37,48
Edge,desktop,11/14/12,948,35,44
Safari (in-app),mobile,11/14/12,940,7,1
Internet Explorer,mobile,11/14/12,205,4,6
Samsung Internet,mobile,11/14/12,125,0,0
Android Webview,tablet,11/14/12,63,0,0
Opera,desktop,11/14/12,26,0,0
Samsung Internet,tablet,11/14/12,15,0,0
Firefox,mobile,11/14/12,11,0,0
BlackBerry,mobile,11/14/12,8,1,0
Android Browser,mobile,11/14/12,7,0,0
Opera,mobile,11/14/12,5,0,0
Edge,mobile,11/14/12,3,0,0
SeaMonkey,desktop,11/14/12,3,0,2
YaBrowser,mobile,11/14/12,3,0,0
Edge,tablet,11/14/12,2,0,0
error,desktop,11/14/12,2,0,0
Opera Mini,mobile,11/14/12,2,0,0
Amazon Silk,mobile,11/14/12,1,0,0
MRCHROME,desktop,11/14/12,1,0,0
Safari,desktop,11/15/12,5783,192,327
Chrome,tablet,11/15/12,502,9,23
Safari (in-app),tablet,11/15/12,456,1,6
Android Webview,mobile,11/15/12,398,0,0
Amazon Silk,tablet,11/15/12,155,4,4
Internet Explorer,tablet,11/15/12,83,0,0
Firefox,mobile,11/15/12,39,0,0
Samsung Internet,tablet,11/15/12,15,0,0
Android Browser,mobile,11/15/12,13,0,0
Opera,desktop,11/15/12,12,0,0
Edge,mobile,11/15/12,8,0,0
BlackBerry,mobile,11/15/12,6,0,0
Internet Explorer,mobile,11/15/12,4,0,0
UC Browser,mobile,11/15/12,3,0,0
Maxthon,desktop,11/15/12,2,0,0
osee2unifiedRelease,mobile,11/15/12,2,0,0
(not set),mobile,11/15/12,1,0,0
Opera Mini,mobile,11/15/12,1,0,0
Android Browser,tablet,11/15/12,0,0,0
error,desktop,11/15/12,0,0,0
Mozilla,mobile,11/15/12,0,0,0
Mozilla Compatible Agent,desktop,11/15/12,0,0,0
Safari,desktop,11/16/12,10611,580,1103
Safari,tablet,11/16/12,7651,274,500
Firefox,desktop,11/16/12,2192,63,121
Internet Explorer,desktop,11/16/12,1706,37,2
Chrome,mobile,11/16/12,816,6,16
Safari (in-app),tablet,11/16/12,758,7,6
Chrome,tablet,11/16/12,258,7,12
Internet Explorer,tablet,11/16/12,68,2,0
Amazon Silk,tablet,11/16/12,59,0,0
Android Webview,tablet,11/16/12,57,0,0
Firefox,mobile,11/16/12,20,0,0
error,desktop,11/16/12,8,0,0
Samsung Internet,tablet,11/16/12,6,0,0
Android Browser,mobile,11/16/12,3,0,0
Opera,mobile,11/16/12,3,0,0
(not set),mobile,11/16/12,2,0,0
SeaMonkey,desktop,11/16/12,2,0,0
Edge,mobile,11/16/12,1,0,0
Firefox,tablet,11/16/12,1,0,0
Puffin,mobile,11/16/12,1,0,0
UC Browser,mobile,11/16/12,1,0,0
Safari,desktop,11/17/12,3922,194,420
Chrome,desktop,11/17/12,3122,65,139
Chrome,mobile,11/17/12,1317,20,52
Firefox,desktop,11/17/12,898,30,50
Chrome,tablet,11/17/12,738,20,49
Safari (in-app),mobile,11/17/12,606,2,1
Internet Explorer,tablet,11/17/12,335,5,0
Samsung Internet,mobile,11/17/12,151,0,0
Internet Explorer,mobile,11/17/12,94,4,8
Safari (in-app),tablet,11/17/12,90,0,0
Android Webview,mobile,11/17/12,88,0,0
Android Browser,mobile,11/17/12,30,0,0
Edge,tablet,11/17/12,7,1,1
error,desktop,11/17/12,4,0,0
Mozilla Compatible Agent,desktop,11/17/12,3,0,0
Firefox,tablet,11/17/12,1,0,0
Opera,tablet,11/17/12,1,0,0
SeaMonkey,desktop,11/17/12,1,0,0
BlackBerry,mobile,11/17/12,0,0,0
Edge,mobile,11/17/12,0,0,0
UC Browser,mobile,11/17/12,0,0,0
YaBrowser,desktop,11/17/12,0,0,0
Chrome,desktop,11/18/12,9457,201,323
Safari,mobile,11/18/12,3490,40,52
Internet Explorer,desktop,11/18/12,1509,66,88
Edge,desktop,11/18/12,354,5,3
Safari (in-app),mobile,11/18/12,262,0,0
Firefox,mobile,11/18/12,31,0,1
Opera,desktop,11/18/12,18,0,3
Android Webview,tablet,11/18/12,9,0,0
error,desktop,11/18/12,7,0,0
Internet Explorer,mobile,11/18/12,5,0,0
Android Browser,mobile,11/18/12,4,0,0
Edge,mobile,11/18/12,4,0,0
Edge,tablet,11/18/12,4,0,0
SeaMonkey,desktop,11/18/12,3,0,0
Android Browser,tablet,11/18/12,2,0,0
BlackBerry,mobile,11/18/12,2,0,0
Mozilla Compatible Agent,desktop,11/18/12,2,0,0
(not set),mobile,11/18/12,1,0,0
osee2unifiedRelease,mobile,11/18/12,1,0,0
Maxthon,desktop,11/18/12,0,0,0
Safari,desktop,11/19/12,10814,303,565
Chrome,desktop,11/19/12,4877,125,317
Safari,mobile,11/19/12,4703,82,152
Firefox,desktop,11/19/12,2160,61,95
Internet Explorer,desktop,11/19/12,793,44,48
Safari (in-app),mobile,11/19/12,563,0,0
Safari (in-app),tablet,11/19/12,484,0,0
Amazon Silk,tablet,11/19/12,366,2,3
Chrome,tablet,11/19/12,203,0,0
Android Webview,mobile,11/19/12,193,0,0
Internet Explorer,tablet,11/19/12,97,8,0
Edge,mobile,11/19/12,10,0,0
Samsung Internet,tablet,11/19/12,8,0,0
Android Browser,tablet,11/19/12,7,0,0
SeaMonkey,desktop,11/19/12,3,0,0
error,desktop,11/19/12,1,0,0
Maxthon,desktop,11/19/12,1,0,0
osee2unifiedRelease,mobile,11/19/12,1,0,0
Edge,tablet,11/19/12,0,0,0
Truefitbot,desktop,11/19/12,0,0,0
UC Browser,mobile,11/19/12,0,0,0
YaBrowser,desktop,11/19/12,0,0,0
Safari,desktop,11/20/12,8691,497,1110
Chrome,desktop,11/20/12,7152,103,207
Firefox,desktop,11/20/12,2490,49,89
Chrome,mobile,11/20/12,2115,21,28
Internet Explorer,desktop,11/20/12,1779,38,82
Safari (in-app),mobile,11/20/12,1501,2,3
Edge,desktop,11/20/12,1042,22,28
Samsung Internet,mobile,11/20/12,303,0,0
Amazon Silk,tablet,11/20/12,283,6,8
Android Webview,mobile,11/20/12,268,0,0
Opera,desktop,11/20/12,49,2,4
Android Webview,tablet,11/20/12,35,1,2
Firefox,mobile,11/20/12,20,0,0
error,desktop,11/20/12,6,0,0
Android Browser,mobile,11/20/12,5,0,0
Internet Explorer,mobile,11/20/12,4,0,0
YaBrowser,desktop,11/20/12,4,0,0
BlackBerry,mobile,11/20/12,2,0,0
Opera Mini,mobile,11/20/12,1,0,0
Maxthon,desktop,11/20/12,0,0,0
osee2unifiedRelease,mobile,11/20/12,0,0,0
Safari,desktop,11/21/12,5322,180,348
Internet Explorer,desktop,11/21/12,2966,92,41
Firefox,desktop,11/21/12,2108,99,173
Safari (in-app),mobile,11/21/12,1822,9,18
Edge,desktop,11/21/12,1359,35,76
Chrome,mobile,11/21/12,1057,16,21
Android Webview,mobile,11/21/12,403,5,2
Samsung Internet,mobile,11/21/12,373,1,2
Amazon Silk,tablet,11/21/12,238,5,7
Internet Explorer,mobile,11/21/12,154,6,6
Opera,desktop,11/21/12,57,0,0
BlackBerry,mobile,11/21/12,7,0,0
Android Webview,tablet,11/21/12,3,0,1
Edge,mobile,11/21/12,2,0,0
Coc Coc,desktop,11/21/12,1,0,0
error,desktop,11/21/12,1,0,0
Puffin,desktop,11/21/12,1,0,0
(not set),mobile,11/21/12,0,0,0
Iron,mobile,11/21/12,0,0,0
Mozilla Compatible Agent,desktop,11/21/12,0,0,0
